,number_of_commits,number_of_unique_committers,week,repoID
166,1,1,2018-06-17 00:00:00+00:00,33628160
167,0,0,2018-06-24 00:00:00+00:00,33628160
168,8,1,2018-07-01 00:00:00+00:00,33628160
169,5,2,2018-07-08 00:00:00+00:00,33628160
170,4,2,2018-07-15 00:00:00+00:00,33628160
171,0,0,2018-07-22 00:00:00+00:00,33628160
172,2,1,2018-07-29 00:00:00+00:00,33628160
173,1,1,2018-08-05 00:00:00+00:00,33628160
174,3,2,2018-08-12 00:00:00+00:00,33628160
175,0,0,2018-08-19 00:00:00+00:00,33628160
176,0,0,2018-08-26 00:00:00+00:00,33628160
177,0,0,2018-09-02 00:00:00+00:00,33628160
178,0,0,2018-09-09 00:00:00+00:00,33628160
179,0,0,2018-09-16 00:00:00+00:00,33628160
180,0,0,2018-09-23 00:00:00+00:00,33628160
181,0,0,2018-09-30 00:00:00+00:00,33628160
182,0,0,2018-10-07 00:00:00+00:00,33628160
183,0,0,2018-10-14 00:00:00+00:00,33628160
184,0,0,2018-10-21 00:00:00+00:00,33628160
185,0,0,2018-10-28 00:00:00+00:00,33628160
186,0,0,2018-11-04 00:00:00+00:00,33628160
187,0,0,2018-11-11 00:00:00+00:00,33628160
188,0,0,2018-11-18 00:00:00+00:00,33628160
189,0,0,2018-11-25 00:00:00+00:00,33628160
190,0,0,2018-12-02 00:00:00+00:00,33628160
191,0,0,2018-12-09 00:00:00+00:00,33628160
192,0,0,2018-12-16 00:00:00+00:00,33628160
193,0,0,2018-12-23 00:00:00+00:00,33628160
194,0,0,2018-12-30 00:00:00+00:00,33628160
195,0,0,2019-01-06 00:00:00+00:00,33628160
196,0,0,2019-01-13 00:00:00+00:00,33628160
197,0,0,2019-01-20 00:00:00+00:00,33628160
198,0,0,2019-01-27 00:00:00+00:00,33628160
199,0,0,2019-02-03 00:00:00+00:00,33628160
200,0,0,2019-02-10 00:00:00+00:00,33628160
201,0,0,2019-02-17 00:00:00+00:00,33628160
202,0,0,2019-02-24 00:00:00+00:00,33628160
203,1,1,2019-03-03 00:00:00+00:00,33628160
204,0,0,2019-03-10 00:00:00+00:00,33628160
205,2,2,2019-03-17 00:00:00+00:00,33628160
