,datetime,year,month,day,number_of_pushes,number_of_forks,number_of_pulls,number_of_Bookmarks,issue_comment_count,issue_author_count,commit_comment_count,commit_author_count,number_of_issues,commit_count,unique_committer_count,Total_count,Status
55,2016-07-17,2016,7,17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
56,2016-07-24,2016,7,24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
57,2016-07-31,2016,7,31,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,3.0,1.0
58,2016-08-07,2016,8,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
59,2016-08-14,2016,8,14,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,2.0,12.0,1.0
60,2016-08-21,2016,8,21,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,3.0,0.0
61,2016-08-28,2016,8,28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
62,2016-09-04,2016,9,4,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
63,2016-09-11,2016,9,11,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0,8.0,1.0
64,2016-09-18,2016,9,18,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,6.0,0.0
65,2016-09-25,2016,9,25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
66,2016-10-02,2016,10,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
67,2016-10-09,2016,10,9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
68,2016-10-16,2016,10,16,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,4.0,1.0
69,2016-10-23,2016,10,23,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,2.0,10.0,1.0
70,2016-10-30,2016,10,30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
71,2016-11-06,2016,11,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
72,2016-11-13,2016,11,13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
73,2016-11-20,2016,11,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
74,2016-11-27,2016,11,27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
75,2016-12-04,2016,12,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
76,2016-12-11,2016,12,11,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,6.0,1.0
77,2016-12-18,2016,12,18,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,1.0,17.0,1.0
78,2016-12-25,2016,12,25,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.0,1.0,51.0,1.0
79,2017-01-01,2017,1,1,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,1.0,11.0,0.0
80,2017-01-08,2017,1,8,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,2.0,30.0,1.0
81,2017-01-15,2017,1,15,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,2.0,36.0,1.0
82,2017-01-22,2017,1,22,8.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,2.0,22.0,0.0
83,2017-01-29,2017,1,29,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,6.0,0.0
84,2017-02-05,2017,2,5,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,2.0,14.0,1.0
85,2017-02-12,2017,2,12,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,2.0,26.0,1.0
86,2017-02-19,2017,2,19,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,2.0,8.0,0.0
87,2017-02-26,2017,2,26,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,2.0,14.0,1.0
88,2017-03-05,2017,3,5,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,1.0,8.0,0.0
89,2017-03-12,2017,3,12,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,1.0,9.0,1.0
90,2017-03-19,2017,3,19,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0,8.0,1.0
91,2017-03-26,2017,3,26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
92,2017-04-02,2017,4,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
93,2017-04-09,2017,4,9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
94,2017-04-16,2017,4,16,3.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,8.0,1.0
95,2017-04-23,2017,4,23,6.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,6.0,2.0,15.0,1.0
96,2017-04-30,2017,4,30,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,2.0,12.0,0.0
97,2017-05-07,2017,5,7,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,2.0,11.0,0.0
98,2017-05-14,2017,5,14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
99,2017-05-21,2017,5,21,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,3.0,1.0
100,2017-05-28,2017,5,28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
101,2017-06-04,2017,6,4,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,7.0,1.0
102,2017-06-11,2017,6,11,6.0,1.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,2.0,24.0,1.0
103,2017-06-18,2017,6,18,10.0,2.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,2.0,32.0,1.0
104,2017-06-25,2017,6,25,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,1.0,13.0,0.0
105,2017-07-02,2017,7,2,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,2.0,22.0,1.0
106,2017-07-09,2017,7,9,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,5.0,0.0
107,2017-07-16,2017,7,16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
108,2017-07-23,2017,7,23,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0,8.0,1.0
109,2017-07-30,2017,7,30,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,1.0,9.0,1.0
110,2017-08-06,2017,8,6,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,7.0,0.0
111,2017-08-13,2017,8,13,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,2.0,10.0,1.0
112,2017-08-20,2017,8,20,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0,8.0,0.0
113,2017-08-27,2017,8,27,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,4.0,0.0
114,2017-09-03,2017,9,3,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,2.0,13.0,1.0
115,2017-09-10,2017,9,10,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,5.0,0.0
116,2017-09-17,2017,9,17,3.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,11.0,1.0
