,datetime,year,month,day,number_of_pushes,number_of_forks,number_of_pulls,number_of_Bookmarks,issue_comment_count,issue_author_count,commit_comment_count,commit_author_count,number_of_issues,commit_count,unique_committer_count,Total_count,Status,repoID
112,2015-03-08,2015,3,8,0.0,1.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,1.0,7567432
113,2015-03-15,2015,3,15,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,7567432
114,2015-03-22,2015,3,22,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,1.0,7567432
115,2015-03-29,2015,3,29,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,7567432
116,2015-04-05,2015,4,5,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,7567432
117,2015-04-12,2015,4,12,0.0,1.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,4.0,1.0,10.0,1.0,7567432
118,2015-04-19,2015,4,19,0.0,1.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,7567432
119,2015-04-26,2015,4,26,0.0,1.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,1.0,7567432
120,2015-05-03,2015,5,3,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,7567432
121,2015-05-10,2015,5,10,4.0,0.0,0.0,4.0,1.0,1.0,0.0,0.0,0.0,9.0,1.0,20.0,1.0,7567432
122,2015-05-17,2015,5,17,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,7567432
123,2015-05-24,2015,5,24,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,4.0,1.0,7567432
124,2015-05-31,2015,5,31,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,7567432
125,2015-06-07,2015,6,7,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,1.0,7567432
126,2015-06-14,2015,6,14,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,7567432
127,2015-06-21,2015,6,21,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,1.0,7567432
128,2015-06-28,2015,6,28,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,7567432
129,2015-07-05,2015,7,5,2.0,1.0,0.0,1.0,2.0,2.0,0.0,0.0,0.0,36.0,2.0,46.0,1.0,7567432
130,2015-07-12,2015,7,12,0.0,0.0,1.0,5.0,2.0,1.0,0.0,0.0,0.0,10.0,2.0,21.0,0.0,7567432
131,2015-07-19,2015,7,19,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,5.0,0.0,7567432
132,2015-07-26,2015,7,26,0.0,1.0,0.0,3.0,0.0,0.0,5.0,1.0,0.0,4.0,1.0,15.0,1.0,7567432
133,2015-08-02,2015,8,2,0.0,2.0,2.0,2.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,7567432
134,2015-08-09,2015,8,9,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,5.0,0.0,7567432
135,2015-08-16,2015,8,16,0.0,0.0,1.0,5.0,2.0,2.0,0.0,0.0,0.0,25.0,2.0,37.0,1.0,7567432
136,2015-08-23,2015,8,23,0.0,0.0,0.0,3.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,9.0,0.0,7567432
137,2015-08-30,2015,8,30,3.0,1.0,1.0,2.0,3.0,3.0,0.0,0.0,0.0,12.0,3.0,28.0,1.0,7567432
138,2015-09-06,2015,9,6,2.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,21.0,1.0,27.0,1.0,7567432
139,2015-09-13,2015,9,13,10.0,1.0,2.0,2.0,2.0,2.0,0.0,0.0,0.0,29.0,3.0,51.0,1.0,7567432
140,2015-09-20,2015,9,20,1.0,1.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,11.0,0.0,7567432
141,2015-09-27,2015,9,27,12.0,0.0,1.0,7.0,7.0,5.0,1.0,1.0,0.0,39.0,1.0,74.0,1.0,7567432
142,2015-10-04,2015,10,4,3.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,5.0,1.0,12.0,0.0,7567432
143,2015-10-11,2015,10,11,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,7567432
144,2015-10-18,2015,10,18,9.0,1.0,3.0,4.0,3.0,3.0,1.0,1.0,0.0,26.0,2.0,53.0,1.0,7567432
145,2015-10-25,2015,10,25,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,7567432
146,2015-11-01,2015,11,1,0.0,1.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,1.0,7567432
147,2015-11-08,2015,11,8,3.0,1.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,10.0,1.0,20.0,1.0,7567432
148,2015-11-15,2015,11,15,9.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,19.0,1.0,32.0,1.0,7567432
149,2015-11-22,2015,11,22,0.0,1.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,7567432
150,2015-11-29,2015,11,29,1.0,1.0,2.0,4.0,1.0,1.0,0.0,0.0,0.0,2.0,2.0,14.0,1.0,7567432
151,2015-12-06,2015,12,6,1.0,1.0,0.0,7.0,0.0,0.0,1.0,1.0,0.0,5.0,1.0,17.0,1.0,7567432
152,2015-12-13,2015,12,13,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,7567432
153,2015-12-20,2015,12,20,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,1.0,7567432
154,2015-12-27,2015,12,27,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,7567432
155,2016-01-03,2016,1,3,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,7567432
156,2016-01-10,2016,1,10,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,1.0,7567432
157,2016-01-17,2016,1,17,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,7567432
158,2016-01-24,2016,1,24,0.0,1.0,1.0,7.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,11.0,1.0,7567432
159,2016-01-31,2016,1,31,1.0,0.0,3.0,4.0,3.0,2.0,0.0,0.0,0.0,1.0,1.0,15.0,1.0,7567432
160,2016-02-07,2016,2,7,0.0,1.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,7567432
161,2016-02-14,2016,2,14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7567432
162,2016-02-21,2016,2,21,1.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,1.0,7567432
163,2016-02-28,2016,2,28,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,7567432
164,2016-03-06,2016,3,6,10.0,0.0,0.0,4.0,0.0,0.0,1.0,1.0,0.0,23.0,1.0,40.0,1.0,7567432
165,2016-03-13,2016,3,13,5.0,0.0,2.0,4.0,3.0,2.0,0.0,0.0,0.0,9.0,3.0,28.0,0.0,7567432
166,2016-03-20,2016,3,20,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,7567432
167,2016-03-27,2016,3,27,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,1.0,7567432
168,2016-04-03,2016,4,3,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,5.0,1.0,7567432
169,2016-04-10,2016,4,10,1.0,0.0,1.0,3.0,2.0,1.0,0.0,0.0,0.0,1.0,1.0,10.0,1.0,7567432
170,2016-04-17,2016,4,17,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,7567432
171,2016-04-24,2016,4,24,0.0,1.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,1.0,7567432
172,2016-05-01,2016,5,1,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,7567432
173,2016-05-08,2016,5,8,0.0,2.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,1.0,7567432
174,2016-05-15,2016,5,15,0.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,7567432
175,2016-05-22,2016,5,22,0.0,1.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,1.0,7567432
176,2016-05-29,2016,5,29,1.0,2.0,2.0,0.0,2.0,2.0,0.0,0.0,0.0,2.0,2.0,13.0,1.0,7567432
177,2016-06-05,2016,6,5,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,7567432
178,2016-06-12,2016,6,12,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,7567432
179,2016-06-19,2016,6,19,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,7567432
180,2016-06-26,2016,6,26,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,7567432
181,2016-07-03,2016,7,3,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,7567432
182,2016-07-10,2016,7,10,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,7567432
183,2016-07-17,2016,7,17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7567432
184,2016-07-24,2016,7,24,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,7567432
185,2016-07-31,2016,7,31,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,7567432
