,year,month,day,number_of_pushes,number_of_forks,number_of_pulls,number_of_Bookmarks,issue_comment_count,issue_author_count,commit_comment_count,commit_author_count,number_of_issues,commit_count,unique_committer_count,Total_count,Status,repoID
114,2015,5,31,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,7567432
115,2015,6,7,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,1.0,7567432
116,2015,6,14,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,7567432
117,2015,6,21,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,1.0,7567432
118,2015,6,28,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,7567432
119,2015,7,5,2.0,1.0,0.0,1.0,2.0,2.0,0.0,0.0,0.0,36.0,2.0,46.0,1.0,7567432
120,2015,7,12,0.0,0.0,1.0,5.0,2.0,1.0,0.0,0.0,0.0,10.0,2.0,21.0,0.0,7567432
121,2015,7,19,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,5.0,0.0,7567432
122,2015,7,26,0.0,1.0,0.0,3.0,0.0,0.0,5.0,1.0,0.0,4.0,1.0,15.0,1.0,7567432
123,2015,8,2,0.0,2.0,2.0,2.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,7567432
124,2015,8,9,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,5.0,0.0,7567432
125,2015,8,16,0.0,0.0,1.0,5.0,2.0,2.0,0.0,0.0,0.0,25.0,2.0,37.0,1.0,7567432
126,2015,8,23,0.0,0.0,0.0,3.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,9.0,0.0,7567432
127,2015,8,30,3.0,1.0,1.0,2.0,3.0,3.0,0.0,0.0,0.0,12.0,3.0,28.0,1.0,7567432
128,2015,9,6,2.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,21.0,1.0,27.0,1.0,7567432
129,2015,9,13,10.0,1.0,2.0,2.0,2.0,2.0,0.0,0.0,0.0,29.0,3.0,51.0,1.0,7567432
130,2015,9,20,1.0,1.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,11.0,0.0,7567432
